lng,lat,UNIQUE_ID,Sighting Order,RECORD_ID,STATUS,SOURCE,STARTDATE,SRC_GROUP,LBP_USAGE,LBPBUFF_ID,RECORDTYPE,XCOORD,YCOORD,Method,species,common name
145.789267,-37.81459997,584,#27,8436771,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),20/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT322.1,New (verified) record post-February 2014,145.789267,-37.8146,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.7962999,-37.80691699,578,#21,8436765,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),16/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT38.2,New (verified) record post-February 2014,145.7963,-37.806917,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8024831,-37.8043,577,#20,8436764,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),16/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT318.1,New (verified) record post-February 2014,145.802483,-37.8043,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8030171,-37.81306703,833,#95,8502557,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),16/2/17,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT389.1,New (verified) record post-February 2014,145.803017,-37.813067,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8054331,-37.811983,843,#98,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT389.2,New (verified) record post-February 2014,145.805433,-37.811983,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.818567,-37.90656702,635,#64,8491850,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),18/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT198.2,New (verified) record post-February 2014,145.818567,-37.906567,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.820417,-37.90768304,647,#76,8491862,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),15/11/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT198.3,New (verified) record post-February 2014,145.820417,-37.907683,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8306501,-37.91350004,634,#63,8491849,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),18/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT6.2,New (verified) record post-February 2014,145.83065,-37.9135,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8406,-37.81693298,910,#113,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT431.1,New (verified) record post-February 2014,145.8406,-37.816933,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8523329,-37.913917,633,#62,8491848,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),18/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT344.1,New (verified) record post-February 2014,145.852333,-37.913917,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
